ROUTE                                                  CODE     BYTES   SIDEBAR  WRAPPER  HEADER
/                                                       200    108282        65        1       1
/account                                                200    125872        65        1       1
/account/profile                                        200    157168        65        1       3
/accounting                                             200    138539        65        1       2
/accounting/invoices                                    200    139561        65        1       2
/admin/audit-log                                        200    142183        65        1       4
/admin/setup                                            200    167077        65        1       2
/attendance/check-in/testtoken                          200    113272        65        1       2
/auth/action                                            200     59202         0        0       1
/buildings                                              200    114165        65        1       1
/construction/portfolio                                 200    115339        65        1       6
/contacts                                               200    172119        65        1       1
/crm                                                    200    139647        65        1       2
/crm/dashboard                                          200    146957        65        1       2
/data-deletion                                          200    109549        65        1       1
/debug                                                  404         0         0        0       0
/demo/addresses                                         200    139533        65        1       1
/dxf/viewer                                             200    123444        65        1       1
/files                                                  200    141111        65        1       2
/listing/prop_a0000001-7777-4aaa-8aaa-000000000001      200     57324         0        0       0
/login                                                  200     62935         0        0       1
/navigation                                             200    139700        65        1       2
/oauth/consent                                          200     54407         0        0       0
/obligations                                            200    141141        65        1       2
/onboarding/organization                                200    111407        65        1       1
/pending-approval                                       200    109564        65        1       1
/privacy-policy                                         200    109849        65        1       1
/procurement                                            200    136869        65        1       2
/procurement/analytics                                  200    139941        65        1       3
/projects                                               200    139728        65        1       2
/properties                                             200    125550        65        1       2
/reports                                                200    135363        65        1       2
/reports/builder                                        200    138104        65        1       2
/sales                                                  200    139714        65        1       2
/search                                                 200     52165         0        0       0
/search/results                                         200     78964         0        0       0
/settings                                               200    126069        65        1       1
/share/photo/testid                                     200    152790        65        1       1
/shared/po/testtoken                                    200    139180        65        1       1
/shared/testtoken                                       200    136383        65        1       1
/showcase/testtoken                                     200    111093        65        1       1
/spaces                                                 200    139695        65        1       2
/spaces/parking                                         200    212120        65        1       1
/storage/testid                                         200    129194        65        1       1
/terms                                                  200    109606        65        1       1
/test-cursor                                            200    110247        65        1       1
/test-harness/dxf-canvas                                200     62006         0        0       0
/test-harness/dxf-perf                                  200    133945        65        1       1
/test-harness/listing-shapes                            200    118399        65        1       3
/test-upload                                            200    110860        65        1       1
/this-route-does-not-exist-404-control                  404     46839         0        0       0
/vendor/quote/testtoken                                 200    112510        65        1       2
/parking/testid                                         200    120335        65        1       1
