ROUTE                                                  CODE     BYTES   SIDEBAR  WRAPPER  HEADER
/                                                       200    120752        65        1       1
/account                                                200    135980        65        1       1
/account/profile                                        200    165997        65        1       3
/accounting                                             200    148660        65        1       2
/accounting/invoices                                    200    149725        65        1       2
/admin/audit-log                                        200    152511        65        1       4
/admin/setup                                            200    175237        65        1       2
/attendance/check-in/testtoken                          200    125317        65        1       2
/auth/action                                            200     85160         0        0       1
/buildings                                              200    125415        65        1       1
/construction/portfolio                                 200    126867        65        1       6
/contacts                                               200    179191        65        1       1
/crm                                                    200    150366        65        1       2
/crm/dashboard                                          200    155820        65        1       2
/data-deletion                                          200    121568        65        1       1
/debug                                                  404         0         0        0       0
/demo/addresses                                         200    151397        65        1       1
/dxf/viewer                                             200    133449        65        1       1
/files                                                  200    151843        65        1       2
/listing/prop_a0000001-7777-4aaa-8aaa-000000000001      200    129771        65        1       1
/login                                                  200     87755         0        0       1
/navigation                                             200    150431        65        1       2
/oauth/consent                                          200    124037        65        1       1
/obligations                                            200    151913        65        1       2
/onboarding/organization                                200    122988        65        1       1
/parking/testid                                         200    130922        65        1       1
/pending-approval                                       200    121600        65        1       1
/privacy-policy                                         200    121867        65        1       1
/procurement                                            200    148141        65        1       2
/procurement/analytics                                  200    151652        65        1       3
/projects                                               200    150460        65        1       2
/properties                                             200    136659        65        1       2
/reports                                                200    146712        65        1       2
/reports/builder                                        200    149400        65        1       2
/sales                                                  200    150412        65        1       2
/search                                                 200    125606        65        1       1
/search/results                                         200    134260        65        1       3
/settings                                               200    136072        65        1       1
/share/photo/testid                                     200    161101        65        1       1
/shared/po/testtoken                                    200    149239        65        1       1
/shared/testtoken                                       200    146564        65        1       1
/showcase/testtoken                                     200    121704        65        1       1
/spaces                                                 200    150428        65        1       2
/spaces/parking                                         200    219098        65        1       1
/storage/testid                                         200    138651        65        1       1
/terms                                                  200    121569        65        1       1
/test-cursor                                            200    122057        65        1       1
/test-harness/dxf-canvas                                200     84221         0        0       0
/test-harness/dxf-perf                                  200    144071        65        1       1
/test-harness/listing-shapes                            200    130283        65        1       3
/test-upload                                            200    122841        65        1       1
/this-route-does-not-exist-404-control                  404    119235        65        1       1
/vendor/quote/testtoken                                 200    124583        65        1       2
