sha,size,kind,preview
a60070cbaee8066bbaad2bac7e368032b31129c9,14503,ts,"/** * useDrawingHandlers - Drawing Interaction Handlers * * @description * Κεντρικό hook"
870d4a449513ffa3c0cb98d166de9d2de2201361,33888,ts,"/** * CENTRALIZED MOUSE HANDLERS * Professional CAD-style mouse handling using the CursorSystem *"
cc1734d11fe5d4ed09c8ac99603033f2a3c69558,6598,json,"{  "timestamp": "2026-02-02T14:24:55.001Z";  "duration": 47922;  "total": 7;  "passed": 7;  "fa"
62248c663eb755d3626fd8decb8db048126443a6,6310,ts,"'use client';import React from 'react';import { EnhancedDXFToolbar } from '../../ui/toolbar/Enhanc"
5c256a31b22db9b2c51a80fca8de9f0881839652,15416,ts,"/** * 🏢 ENTERPRISE DISTANCE LABEL UTILITIES * * Centralized distance label rendering for both "
502fae0d7cb90b281f7d751a07976736cc336d66,814,json,"{  "testName": "combined-1920x1080";  "passed": true;  "mismatchedPixels": 0;  "totalPixels": 20"
3738a4748a51a1a0665b67072e817ff767e237b6,30698,ts,"/** * 🏢 ENTERPRISE PREVIEW RENDERER * * CAD-grade direct canvas rendering for drawing previews"
cb67fed8f0f51646276640a6ab42be979527d63a,9922,ts,"'use client';import React; { useState; useEffect; useCallback } from 'react';import { Card; CardC"
3b6ade0ff4a7d68267a7687cc5e54eb796033253,23717,ts,"'use client';/** * 🏢 ENTERPRISE: useCanvasMouse Hook * * @description Centralized mouse even"
7b78f672269c4b7bc5883fb2026314697ad4f0f5,8837,ts,"/** * 🏢 CENTRALIZED ORIGIN MARKER UTILITIES * ====================================== * * Sing"
d79af2cc6f4138b2a9e48e42eaa604dd61b71235,15580,ts,"/** * Internationalization utilities using native Intl APIs * Provides consistent formatting acros"
9ba4c2d1abc6e4cf13a77aa2e643c468d08f73e5,1018,bin,"npm info using npm@10.8.2npm info using node@v20.19.0> nextn@0.1.1 build> pnpm run build:tokens "
aca9d89a32530372835ab43ba885efa70812f384,6611,ts,"'use client';/** * 🏢 ENTERPRISE: Client-side Projects Service * * Provides client-side CRUD "
b0ba8cda70405225b0ea0e89672d7be0ef41c84a,28950,ts,"/** * CANVAS V2 - LAYER CANVAS COMPONENT * Καθαρό Layer canvas για έγχρωμα layers "
b2c8266d1ecc6862f23cfcdc7053d513ab283ecd,48842,ts,"/** * CANVAS V2 - LAYER RENDERER * ✅ ΦΑΣΗ 7: Ενοποιημένος με unified canvas sy"
79e6267f670cfefe0fd9a33870a984152ddd270c,21330,ts,"'use client';import React from 'react';import { Button } from '@/components/ui/button';import { "
71e822e2bb071b95231a8c74cf35fe3a6186f3d6,12811,ts,"/** * CANVAS V2 - UNIFIED DXF RENDERER * ✅ ΕΞΑΛΕΙΨΗ ΔΙΠΛΟΓΡΑΦΙΩΝ: Χρησι"
fbed465b3a8337786deda064fbe093e9a626fbb0,7791,ts,"/** * useDxfViewerState - Refactored for New Architecture * Main hook that orchestrates all DXF vi"
66151b67c95f9556bec7a3bca829512132cde07e,787,json,"{  "testName": "origin-800x600";  "passed": true;  "mismatchedPixels": 0;  "totalPixels": 480000"
b42079a359972e15b1fcd5f773bad5f66c91ca4c,4450,ts,"'use client';import React; { useState } from 'react';import type { DXFViewerLayoutProps } from '.."
0a21c321b8450d1663a8857521b3eb0f3452de3c,14866,ts,"/** * TRANSFORM CONFIGURATION - UNIFIED CONSTANTS * ============================================ "
1729f78eb9c7e6f74b5570fdce0d9ed8e47928af,21867,ts,"/** * CANVAS V2 - DXF CANVAS COMPONENT * Καθαρό DXF canvas χωρίς legacy κώδικα *"
3a29c586193377374dbf714444615a4017ada85d,12845,ts,"/** * 🏗️ PROJECTS LIST ENDPOINT * * Enterprise-grade endpoint για loading ALL projects γ"
